brand,model,processor,ram,memory,os,display_size,price,star_rating,ratings
Lenovo,Ideapad,Intel Core i5,8GB,512GB HDD,DOS,Missing,610.87,4.2,4428
Microsoft,Surface,Intel Core i5,8GB,128GB SSD,Windows,Missing,1302.47,4.4,56
Smartron,t.book,Intel Core i5,8GB,128GB SSD,Windows,Missing,688.87,3.5,30
Microsoft,Surface,Intel Core i5,8GB,128GB SSD,Windows,Missing,1195.9869999999999,4.5,49
Smartron,t.book,Intel Core i5,4GB,128GB SSD,Windows,12.2,688.87,3.9,28
Hp,Pavilion,Intel Core i5,8GB,128GB SSD,Windows,13.3,988.156,4.3,129
Lenovo,Ideapad,Intel Core i5,8GB,256GB SSD,Windows,15.6,643.37,4.3,365
Lenovo,Yoga,Intel Core i5,8GB,512GB HDD,DOS,Missing,1338.87,4.6,79
Acer,Swift,Intel Core i5,8GB,256GB SSD,Windows,Missing,1129.271,4.4,39
Lg,Gram,Intel Core i5,8GB,256GB SSD,Windows,Missing,1000.87,4.5,15
Lg,Gram,Intel Core i5,8GB,256GB SSD,Windows,Missing,1000.87,0.0,0
Asus,VivoBook,Intel Core i5,8GB,256GB SSD,Windows,Missing,636.87,0.0,0
Lg,Gram,Intel Core i5,8GB,256GB SSD,Windows,Missing,818.87,4.6,68
Dell,Inspiron,Intel Core i5,8GB,256GB SSD,Windows,Missing,727.87,3.3,3
Acer,Swift,Intel Core i5,8GB,256GB SSD,Windows,Missing,1065.974,4.0,14
Hp,Spectre,Intel Core i5,8GB,256GB SSD,Windows,Missing,1775.6699999999998,0.0,0
Acer,Swift,Intel Core i5,8GB,256GB SSD,Windows,13.3,773.37,3.5,33
Asus,VivoBook14,Intel Core i5,8GB,256GB SSD,Windows,14.1,647.4,0.0,0
Lenovo,Ideapad,Intel Core i5,8GB,256GB SSD,Windows,15.6,805.987,2.8,4
Hp,Missing,Intel Core i5,8GB,512GB SSD,Windows,15.6,714.87,4.2,116
Hp,Missing,Intel Core i5,8GB,512GB SSD,Windows,15.6,701.87,4.1,206
Lenovo,Ideapad,Intel Core i5,8GB,512GB SSD,Windows,14,688.87,4.2,300
Hp,Pavilion,Intel Core i5,16GB,512GB SSD,Windows,14,883.87,4.5,108
Asus,TUF,Intel Core i5,8GB,512GB SSD,Windows,15.6,753.87,4.5,3712
Lenovo,Ideapad,Intel Core i5,16GB,512GB SSD,Windows,15.6,809.9,4.4,825
Realme,Book(Slim),Intel Core i5,8GB,512GB SSD,Windows,14,688.87,4.4,3470
Lenovo,Missing,Intel Core i5,8GB,512GB SSD,Windows,15.6,688.87,0.0,0
Lenovo,IdeaPad,Intel Core i5,8GB,512GB SSD,Windows,15.6,675.87,4.2,85
Lenovo,IdeaPad,Intel Core i5,16GB,512GB SSD,Windows,14,805.87,4.2,56
Redmibook,Pro,Intel Core i5,8GB,512GB SSD,Windows,15.6,636.87,4.2,1708
Asus,VivoBook,Intel Core i5,8GB,512GB SSD,Windows,14,831.87,4.6,10
Lenovo,ThinkPad,Intel Core i5,8GB,512GB SSD,Windows,15.6,857.87,4.6,17
Nokia,PureBook,Intel Core i5,8GB,512GB SSD,Windows,14,623.87,4.4,1119
Acer,Aspire,Intel Core i5,8GB,512GB SSD,Windows,15.6,688.87,4.2,155
Lenovo,IdeaPad,Intel Core i5,8GB,512GB SSD,Windows,15.6,649.87,0.0,0
